_id,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,circulating_supply,current_price,fully_diluted_valuation,high_24h,id,image,last_updated,low_24h,market_cap,market_cap_change_24h,market_cap_change_percentage_24h,market_cap_rank,max_supply,name,price_change_24h,price_change_percentage_24h,roi,roi.currency,roi.percentage,roi.times,symbol,total_supply,total_volume
token/orion-money,2.36,-98.69998,2021-10-15T08:01:02.537Z,0.0285006,7.59678,2022-05-11T13:00:34.341Z,91294917.733995,0.03061379,31880617.0,0.04682833,orion-money,https://assets.coingecko.com/coins/images/18630/large/YtrqPIWc.png?1632710781,2022-05-12T23:16:04.024Z,0.02954054,2910538.0,-1165345.8684798842,-28.59124,1443.0,1000000000.0,Orion Money,-0.0139860099538455,-31.35891,,,,,orion,1000000000.0,654199.0
token/auruscoin,30.07,-97.10763,2021-04-09T13:39:30.965Z,0.758222,14.70948,2022-03-27T16:55:40.523Z,3342477.64713739,0.87028,,0.985572,auruscoin,https://assets.coingecko.com/coins/images/12684/large/2021-12-06-Aurus-tokens-for-coingecko-AWX-flat-color-v1-r1-AS.png?1640223413,2022-05-12T23:12:38.835Z,0.86726,2905278.0,-235635.61128758595,-7.50214,1445.0,,AurusDeFi,-0.0596372165459752,-6.41318,,,,,awx,30000000.0,868.78
token/belt,203.87,-99.67152,2021-03-11T06:37:09.872Z,0.588957,13.70484,2022-05-12T07:31:45.098Z,4326851.534040966,0.671049,,0.738723,belt,https://assets.coingecko.com/coins/images/14319/large/belt_logo.jpg?1615387083,2022-05-12T23:11:50.873Z,0.588957,2903563.0,-184498.55050966985,-5.97458,1447.0,,Belt,-0.047664096181178,-6.63186,,,,,belt,14480577.3940042,281358.0
token/gro-dao-token,36.37,-97.77287,2021-10-12T04:58:14.614Z,0.796588,1.67379,2022-05-12T19:31:32.143Z,3624838.627600576,0.805868,79998824.0,1.028,gro-dao-token,https://assets.coingecko.com/coins/images/18673/large/613f171979749061aaa1edf9_Icon-GRO-256x256-Square.png?1632876204,2022-05-12T23:14:52.870Z,0.796588,2899828.0,-724743.1183304908,-19.99528,1446.0,100000000.0,Gro DAO Token,-0.2005172698661784,-19.92451,,,,,gro,5328110.45766787,117771.0
token/plutusdao,0.580476,-54.59531,2022-05-05T05:03:54.078Z,0.26192,0.62752,2022-05-12T22:32:45.988Z,10830000.0,0.26874,,0.351294,plutusdao,https://assets.coingecko.com/coins/images/25326/large/M6nUndNU_400x400.jpg?1651233987,2022-05-12T23:13:51.154Z,0.26192,2896227.0,-820747.313525361,-22.08106,1447.0,,PlutusDAO,-0.0710362354014538,-20.90677,,,,,pls,100000000.0,164558.0
token/bibox-token,1.77,-98.61164,2018-06-09T22:39:43.939Z,0.02365993,4.06997,2022-05-12T15:11:27.278Z,117399166.0,0.02465404,,0.02851685,bibox-token,https://assets.coingecko.com/coins/images/1441/large/bibox-token.png?1547035519,2022-05-12T23:12:04.736Z,0.02365993,2895933.0,-454035.84168846114,-13.55343,1448.0,,Bibox Token,-0.0030340409417625,-10.95793,,usd,-85.49762427375592,-0.8549762427375592,bix,267941449.0,1261050.0
token/million,223.17,-98.6887,2021-07-14T03:47:04.643Z,2.54,15.15588,2022-05-11T22:58:08.785Z,1000000.0,2.9,,3.26,million,https://assets.coingecko.com/coins/images/16825/large/logo200x200.png?1625834139,2022-05-12T23:14:32.258Z,2.84,2887926.0,307327.0,11.90912,1449.0,,Million,-0.0304385204778334,-1.04029,,,,,mm,1000000.0,67849.0
token/zenlink-network-token,4.4,-97.01008,2021-11-27T13:21:52.588Z,0.126485,4.10448,2022-05-12T12:06:52.023Z,21938904.0170797,0.131969,13143823.0,0.154023,zenlink-network-token,https://assets.coingecko.com/coins/images/20884/large/zenlink.PNG?1637824309,2022-05-12T23:14:47.950Z,0.126485,2883611.0,-309518.153746984,-9.69326,1450.0,100000000.0,Zenlink Network,-0.0213548981911196,-13.92796,,,,,zlk,43142614.075,74986.0
token/gm,0.00093125,-99.35246,2021-11-12T07:08:50.373Z,5.88e-06,2.54511,2022-05-12T19:31:01.253Z,477671683242.69775,6.02e-06,,7.9e-06,gm,https://assets.coingecko.com/coins/images/20066/large/PQ29R4D.png?1636768949,2022-05-12T23:31:01.886Z,5.88e-06,2879132.0,-763306.3911509714,-20.95592,1454.0,,GM,-1.4042804229e-06,-18.91958,,,,,gm,1000000000000.0,3455535.0
token/cashbet-coin,0.57781,-97.61532,2018-06-12T17:13:55.942Z,0.00341291,303.72995,2020-03-13T02:12:29.195Z,207817046.66265792,0.01391663,,0.0199294,cashbet-coin,https://assets.coingecko.com/coins/images/2477/large/Icon_for_White_Bg_75x75.png?1637155730,2022-05-12T23:14:21.817Z,0.01304248,2877291.0,-1337006.095285011,-31.72548,1453.0,,CBC.network,-0.0060127638651895,-30.17032,,usd,-97.2166730109898,-0.972166730109898,cbc,430000000.0,57607.0
token/imperium-empires,0.065415,-93.06237,2022-01-20T16:03:06.986Z,0.0041392,9.64029,2022-05-12T08:29:41.330Z,647260313.0,0.004477,44441532.0,0.00532786,imperium-empires,https://assets.coingecko.com/coins/images/21933/large/X6_UI3rs_400x400.jpg?1640301057,2022-05-12T23:15:22.690Z,0.0041392,2876524.0,8296.78,0.28927,1452.0,10000000000.0,Imperium Empires,2.156e-05,0.48399,,,,,ime,10000000000.0,257356.0
